Category,order_year,order_month,Total_Orders,Total_Sales(Lakhs),orders_prct_change,Amount_prct_change
Blouse,2022,3,1,0.0,-,-
Blouse,2022,4,418,2.09,41700.0%,-
Blouse,2022,5,323,1.7,-22.7%,-18.7%
Blouse,2022,6,184,1.09,-43.0%,-35.9%
Bottom,2022,4,180,0.68,-,-
Bottom,2022,5,150,0.56,-16.7%,-17.6%
Bottom,2022,6,110,0.37,-26.7%,-33.9%
Dupatta,2022,6,3,0.01,-,-
Ethnic Dress,2022,3,1,0.01,-,-
Ethnic Dress,2022,4,351,2.64,35000.0%,26300.0%
Ethnic Dress,2022,5,451,3.08,28.5%,16.7%
Ethnic Dress,2022,6,356,2.62,-21.1%,-14.9%
Saree,2022,4,75,0.57,-,-
Saree,2022,5,52,0.42,-30.7%,-26.3%
Saree,2022,6,36,0.3,-30.8%,-28.6%
Set,2022,3,75,0.58,-,-
Set,2022,4,20189,163.0,26818.7%,28003.4%
Set,2022,5,15999,132.84,-20.8%,-18.5%
Set,2022,6,13976,115.63,-12.6%,-13.0%
Top,2022,3,9,0.05,-,-
Top,2022,4,3928,19.23,43544.4%,38360.0%
Top,2022,5,4055,21.16,3.2%,10.0%
Top,2022,6,2630,15.93,-35.1%,-24.7%
Western Dress,2022,3,9,0.08,-,-
Western Dress,2022,4,4159,30.46,46111.1%,37975.0%
Western Dress,2022,5,6057,46.01,45.6%,51.1%
Western Dress,2022,6,5267,40.68,-13.0%,-11.6%
kurta,2022,3,76,0.35,-,-
kurta,2022,4,19745,87.91,25880.3%,25017.1%
kurta,2022,5,14930,72.58,-24.4%,-17.4%
kurta,2022,6,15120,72.45,1.3%,-0.2%
